variables,code,PCapita plastic waste (kg per person per day),gdp_pc,otalpopulatio,year,Mismanaged plastic waste (tonnes),coastal_pop,variables
Albania,ALB,0.069,$9927.18184117512,3204284,2011,29705,2530533,Albania
Algeria,DZA,0.144,$12870.6026985154,35468208,2011,520555,16556580,Algeria
Angola,AGO,0.062,$5897.682840598482,19081912,2011,62528,3790041,Angola
Anguilla,AIA,0.252,,15358,2011,52,14561,Anguilla
Antigua and Barbuda,ATG,0.66,$19212.7201307541,88710,2011,1253,66843,Antigua and Barbuda
Argentina,ARG,0.183,$18712.063077343602,40412376,2011,157777,16449245,Argentina
Aruba,ABW,0.252,,107488,2011,372,137910,Aruba
Australia,AUS,0.112,$41464.0400696359,22268384,2011,13889,17235954,Australia
Bahamas,BHS,0.39,$29221.991181614903,342877,2011,1333,341145,Bahamas
Bahrain,BHR,0.132,$40570.5356928307,1261835,2011,4376,743574,Bahrain
Bangladesh,BGD,0.034,$2442.72888765696,148692131,2011,787327,70874124,Bangladesh
Barbados,BRB,0.57,$16417.9624523108,273331,2011,3483,276784,Barbados
Belgium,BEL,0.08,$41085.9189401366,10712066,2011,2743,4747957,Belgium
Belize,BLZ,0.172,$7876.809585976441,311627,2011,3892,202429,Belize
Benin,BEN,0.043,$1818.77846075906,8849892,2011,43015,3235418,Benin
Bermuda,BMU,0.252,$56395.007800353895,64941,2011,123,66966,Bermuda
Bosnia and Herzegovina,BIH,0.144,$9720.34217718095,3760149,2011,12955,585582,Bosnia and Herzegovina
Brazil,BRA,0.165,$14537.5671930903,194946470,2011,471404,74696771,Brazil
British Virgin Islands,VGB,0.252,,23245,2011,55,29674,British Virgin Islands
Brunei,BRN,0.026,$80552.8644713138,398920,2011,93,359871,Brunei
Bulgaria,BGR,0.154,$15283.2914751664,7494332,2011,18739,1002695,Bulgaria
Cambodia,KHM,0.066,$2522.92682475402,14138255,2011,29686,1391254,Cambodia
Cameroon,CMR,0.046,$2929.8291128196197,19598889,2011,27713,1986723,Cameroon
Canada,CAN,0.093,$40699.3551293841,34016593,2011,7959,11846863,Canada
Cape Verde,CPV,0.065,$5828.24158804338,495999,2011,9347,522245,Cape Verde
Cayman Islands,CYM,0.252,,56230,2011,95,51864,Cayman Islands
Channel Islands,OWID_CIS,0.252,,NOT KNOWN,2011,281,153352,Channel Islands
Chile,CHL,0.119,$19442.0503154635,17113688,2011,21754,5621550,Chile
China,CHN,0.121,$9525.81848339164,1341335152,2011,8819717,262892387,China
Christmas Island,CXR,0.252,,1400,2011,3,1402,Christmas Island
Cocos Islands,CCK,0.252,,596,2011,1,596,Cocos Islands
Colombia,COL,0.144,$10900.505282161601,46294841,2011,92173,7498563,Colombia
Comoros,COM,0.201,$1412.50268663997,734750,2011,58032,938595,Comoros
Congo,COG,0.069,$5186.34478845194,4042899,2011,16766,847807,Congo
Cook Islands,COK,0.144,,20288,2011,416,20934,Cook Islands
Costa Rica,CRI,0.258,$12999.992193144199,4658887,2011,42090,2479298,Costa Rica
Cote d'Ivoire,CIV,0.103,$2690.25800198952,19737800,2011,194558,6230583,Cote d'Ivoire
Croatia,HRV,0.252,$20171.9575294867,4403330,2011,16461,1602782,Croatia
Cuba,CUB,0.089,,11257979,2011,90630,11333471,Cuba
Curacao,CUW,0.252,,NOT KNOWN,2011,268,143784,Curacao
Cyprus,CYP,0.248,$33941.138015835495,1103647,2011,1821,840556,Cyprus
Democratic Republic of Congo,COD,0.045,$660.210955818272,65965795,2011,15208,1076056,Democratic Republic of Congo
Denmark,DNK,0.047,$43998.436671628486,5550142,2011,1791,5376386,Denmark
Djibouti,DJI,0.103,,888716,2011,17324,621744,Djibouti
Dominica,DMA,0.149,$10198.273372932601,67757,2011,783,70138,Dominica
Dominican Republic,DOM,0.144,$11132.5526905467,9927320,2011,118226,8232586,Dominican Republic
Ecuador,ECU,0.147,$9352.34423681593,14464739,2011,109383,6400048,Ecuador
Egypt,EGY,0.178,$9857.46828190066,81121077,2011,967012,21750943,Egypt
El Salvador,SLV,0.147,$6300.77538777337,6192993,2011,118732,6410726,El Salvador
Equatorial Guinea,GNQ,0.144,$33723.3658030152,700401,2011,5977,351600,Equatorial Guinea
Eritrea,ERI,0.045,$1416.36580154238,5253676,2011,16259,1266222,Eritrea
Estonia,EST,0.176,$22740.9720038708,1341140,2011,5979,878021,Estonia
Faeroe Islands,FRO,0.252,,48708,2011,93,50554,Faeroe Islands
Falkland Islands,FLK,0.252,,NOT KNOWN,2011,5,2602,Falkland Islands
Fiji,FJI,0.189,$7352.08836002372,860623,2011,49257,896145,Fiji
Finland,FIN,0.234,$39848.1344978775,5364546,2011,4985,2927674,Finland
France,FRA,0.192,$36855.8446824064,62787427,2011,24109,17287280,France
French Guiana,GUF,0.144,,231151,2011,2360,167631,French Guiana
French Polynesia,PYF,0.252,,270764,2011,1286,270618,French Polynesia
Gabon,GAB,0.054,$15355.7846497731,1505463,2011,6087,862328,Gabon
Gambia,GMB,0.048,$1644.24236613493,1728394,2011,19616,1324214,Gambia
Georgia,GEO,0.068,$6733.783761309879,4352244,2011,14472,1124249,Georgia
Germany,DEU,0.485,$40428.7210307617,82302465,2011,31239,8837035,Germany
Ghana,GHA,0.04,$3059.3836264054107,24391823,2011,91571,7727702,Ghana
Gibraltar,GIB,0.252,,29244,2011,65,33483,Gibraltar
Greece,GRC,0.2,$28726.0792836873,11359346,2011,14229,9794702,Greece
Greenland,GRL,0.252,,57296,2011,105,57068,Greenland
Grenada,GRD,0.325,$11177.9997155594,104487,2011,2248,96121,Grenada
Guadeloupe,GLP,0.144,,460666,2011,6564,466166,Guadeloupe
Guam,GUM,0.252,,179896,2011,393,190809,Guam
Guatemala,GTM,0.28,$6714.0635955465,14388929,2011,91563,2392442,Guatemala
Guernsey,GGY,0.252,,NOT KNOWN,2011,103,56289,Guernsey
Guinea,GIN,0.03,$1573.54495756823,9981590,2011,18514,1996496,Guinea
Guinea-Bissau,GNB,0.054,$1400.36329312665,1515224,2011,20240,1208106,Guinea-Bissau
Guyana,GUY,0.586,$5847.857254996789,754493,2011,42002,513235,Guyana
Haiti,HTI,0.09,$1502.03271141224,9993247,2011,147389,9155693,Haiti
Honduras,HND,0.189,$3971.1829935272704,7600524,2011,95638,3324144,Honduras
Hong Kong,HKG,0.398,$48107.7086333279,7053189,2011,28512,7573074,Hong Kong
Iceland,ISL,0.281,$38978.0055953415,320136,2011,598,292708,Iceland
India,IND,0.01,$4404.69700530387,1224614327,2011,599819,187493433,India
Indonesia,IDN,0.057,$8433.49735678452,239870937,2011,3216856,187223476,Indonesia
Iran,IRN,0.144,$17942.832842614298,73973630,2011,247403,9099695,Iran
Iraq,IRQ,0.103,$12717.5975271684,31671591,2011,15563,639228,Iraq
Ireland,IRL,0.43,$44030.414148705495,4469900,2011,11710,3749576,Ireland
Israel,ISR,0.297,$29743.0058727916,7418400,2011,19007,6677810,Israel
Italy,ITA,0.134,$36201.1615672134,60550848,2011,32761,33822532,Italy
Jamaica,JAM,0.034,$7996.019487958729,2741052,2011,10019,2820558,Jamaica
Japan,JPN,0.171,$35749.756678878395,126535920,2011,143121,115228891,Japan
Jordan,JOR,0.144,$9472.76832624669,6187227,2011,1737,55392,Jordan
